Resolution,Datetime,Price
10MIN,2021-11-01 07:00:00,70
10MIN,2021-11-01 07:10:00,NULL
10MIN,2021-11-01 07:20:00,71.5
10MIN,2021-11-01 07:30:00,71.375
10MIN,2021-11-01 07:40:00,NULL
10MIN,2021-11-01 07:50:00,71.325
10MIN,2021-11-01 08:00:00,70.9
10MIN,2021-11-01 08:10:00,70.65
10MIN,2021-11-01 08:20:00,70.65
10MIN,2021-11-01 08:30:00,69.975
10MIN,2021-11-01 08:40:00,71
10MIN,2021-11-01 08:50:00,71.2
10MIN,2021-11-01 09:00:00,71.1
10MIN,2021-11-01 09:10:00,71.9
10MIN,2021-11-01 09:20:00,72.475
10MIN,2021-11-01 09:30:00,72.9
10MIN,2021-11-01 09:40:00,72.4
10MIN,2021-11-01 09:50:00,71.825
10MIN,2021-11-01 10:00:00,71.75
10MIN,2021-11-01 10:10:00,71.525
10MIN,2021-11-01 10:20:00,71
10MIN,2021-11-01 10:30:00,70.875
10MIN,2021-11-01 10:40:00,70.75
10MIN,2021-11-01 10:50:00,70.3
10MIN,2021-11-01 11:00:00,70.4
10MIN,2021-11-01 11:10:00,70.225
10MIN,2021-11-01 11:20:00,70.05
10MIN,2021-11-01 11:30:00,69.525
10MIN,2021-11-01 11:40:00,68.925
10MIN,2021-11-01 11:50:00,68.85
10MIN,2021-11-01 12:00:00,69.175
10MIN,2021-11-01 12:10:00,69.425
10MIN,2021-11-01 12:20:00,69
10MIN,2021-11-01 12:30:00,67.5
10MIN,2021-11-01 12:40:00,66.375
10MIN,2021-11-01 12:50:00,66.3
10MIN,2021-11-01 13:00:00,64.9
10MIN,2021-11-01 13:10:00,62
10MIN,2021-11-01 13:20:00,63.025
10MIN,2021-11-01 13:30:00,62.8
10MIN,2021-11-01 13:40:00,63
10MIN,2021-11-01 13:50:00,63
10MIN,2021-11-01 14:00:00,62.725
10MIN,2021-11-01 14:10:00,62.675
10MIN,2021-11-01 14:20:00,62.825
10MIN,2021-11-01 14:30:00,64.35
10MIN,2021-11-01 14:40:00,63.3
10MIN,2021-11-01 14:50:00,64.4
10MIN,2021-11-01 15:00:00,65.05
10MIN,2021-11-01 15:10:00,66.2
10MIN,2021-11-01 15:20:00,66.65
10MIN,2021-11-01 15:30:00,66.3
10MIN,2021-11-01 15:40:00,67
10MIN,2021-11-01 15:50:00,64.75
10MIN,2021-11-01 16:00:00,64.2
10MIN,2021-11-01 16:10:00,64
10MIN,2021-11-01 16:20:00,63.3
10MIN,2021-11-01 16:30:00,65.7
10MIN,2021-11-01 16:40:00,66.925
10MIN,2021-11-01 16:50:00,67
10MIN,2021-11-02 07:00:00,NULL
10MIN,2021-11-02 07:10:00,NULL
10MIN,2021-11-02 07:20:00,NULL
10MIN,2021-11-02 07:30:00,67
10MIN,2021-11-02 07:40:00,NULL
10MIN,2021-11-02 07:50:00,67.4
10MIN,2021-11-02 08:00:00,64.4
10MIN,2021-11-02 08:10:00,64.4
10MIN,2021-11-02 08:20:00,65.1
10MIN,2021-11-02 08:30:00,65.525
10MIN,2021-11-02 08:40:00,65.85
10MIN,2021-11-02 08:50:00,65.75
10MIN,2021-11-02 09:00:00,65.75
10MIN,2021-11-02 09:10:00,63
10MIN,2021-11-02 09:20:00,63.575
10MIN,2021-11-02 09:30:00,63.425
10MIN,2021-11-02 09:40:00,63.95
10MIN,2021-11-02 09:50:00,64.225
10MIN,2021-11-02 10:00:00,65
10MIN,2021-11-02 10:10:00,66
10MIN,2021-11-02 10:20:00,66.225
10MIN,2021-11-02 10:30:00,66.275
10MIN,2021-11-02 10:40:00,65.9
10MIN,2021-11-02 10:50:00,66.15
10MIN,2021-11-02 11:00:00,65.5
10MIN,2021-11-02 11:10:00,66.3
10MIN,2021-11-02 11:20:00,66.65
10MIN,2021-11-02 11:30:00,67.5
10MIN,2021-11-02 11:40:00,67.05
10MIN,2021-11-02 11:50:00,67.2
10MIN,2021-11-02 12:00:00,66.775
10MIN,2021-11-02 12:10:00,66.5
10MIN,2021-11-02 12:20:00,66.5
10MIN,2021-11-02 12:30:00,67
10MIN,2021-11-02 12:40:00,66.775
10MIN,2021-11-02 12:50:00,67
10MIN,2021-11-02 13:00:00,67.75
10MIN,2021-11-02 13:10:00,67.9
10MIN,2021-11-02 13:20:00,68.425
10MIN,2021-11-02 13:30:00,68
10MIN,2021-11-02 13:40:00,68.1
10MIN,2021-11-02 13:50:00,67.525
10MIN,2021-11-02 14:00:00,67.25
10MIN,2021-11-02 14:10:00,67
10MIN,2021-11-02 14:20:00,67.4
10MIN,2021-11-02 14:30:00,66.8
10MIN,2021-11-02 14:40:00,66.3
10MIN,2021-11-02 14:50:00,66.3
10MIN,2021-11-02 15:00:00,66.3
10MIN,2021-11-02 15:10:00,65.9
10MIN,2021-11-02 15:20:00,65.775
10MIN,2021-11-02 15:30:00,65.5
10MIN,2021-11-02 15:40:00,65.9
10MIN,2021-11-02 15:50:00,66.05
10MIN,2021-11-02 16:00:00,66.45
10MIN,2021-11-02 16:10:00,68
10MIN,2021-11-02 16:20:00,69.375
10MIN,2021-11-02 16:30:00,70
10MIN,2021-11-02 16:40:00,70.5
10MIN,2021-11-02 16:50:00,70.625
10MIN,2021-11-03 07:00:00,NULL
10MIN,2021-11-03 07:10:00,NULL
10MIN,2021-11-03 07:20:00,NULL
10MIN,2021-11-03 07:30:00,69.7
10MIN,2021-11-03 07:40:00,70.25
10MIN,2021-11-03 07:50:00,NULL
10MIN,2021-11-03 08:00:00,71
10MIN,2021-11-03 08:10:00,70.75
10MIN,2021-11-03 08:20:00,71.875
10MIN,2021-11-03 08:30:00,71.525
10MIN,2021-11-03 08:40:00,71.225
10MIN,2021-11-03 08:50:00,71.475
10MIN,2021-11-03 09:00:00,71.95
10MIN,2021-11-03 09:10:00,72.6
10MIN,2021-11-03 09:20:00,72.35
10MIN,2021-11-03 09:30:00,72.4
10MIN,2021-11-03 09:40:00,72.25
10MIN,2021-11-03 09:50:00,72.175
10MIN,2021-11-03 10:00:00,72.5
10MIN,2021-11-03 10:10:00,72.6
10MIN,2021-11-03 10:20:00,72.6
10MIN,2021-11-03 10:30:00,73.2
10MIN,2021-11-03 10:40:00,73.35
10MIN,2021-11-03 10:50:00,72.875
10MIN,2021-11-03 11:00:00,73.025
10MIN,2021-11-03 11:10:00,72.9
10MIN,2021-11-03 11:20:00,73.6
10MIN,2021-11-03 11:30:00,73.6
10MIN,2021-11-03 11:40:00,73.675
10MIN,2021-11-03 11:50:00,73.7
